batch_id,sample_index,backend,job_id,shots,true_label,ideal_probability,hardware_probability,probability_shift,absolute_probability_shift,ideal_prediction,hardware_prediction,prediction_changed,hardware_correct,class_1_counts,counts
1,0,ibm_fez,damh7978gn2s739leav0,1024,1,0.9951171875,0.9404296875,-0.0546875,0.0546875,1,1,False,True,963,"{'0000': 3, '0001': 77, '0010': 6, '0011': 6, '0100': 6, '0101': 181, '0110': 10, '0111': 23, '1000': 13, '1001': 430, '1010': 7, '1011': 42, '1100': 11, '1101': 149, '1110': 5, '1111': 55}"
1,1,ibm_fez,damh7978gn2s739leav0,1024,0,0.125,0.166015625,0.041015625,0.041015625,0,0,False,True,170,"{'0000': 43, '0001': 11, '0010': 67, '0011': 7, '0100': 53, '0101': 12, '0110': 31, '0111': 22, '1000': 59, '1001': 40, '1010': 98, '1011': 11, '1100': 460, '1101': 9, '1110': 43, '1111': 58}"
1,2,ibm_fez,damh7978gn2s739leav0,1024,0,0.1845703125,0.1982421875,0.013671875,0.013671875,0,0,False,True,203,"{'0000': 121, '0001': 6, '0010': 61, '0011': 62, '0100': 45, '0101': 44, '0110': 37, '0111': 34, '1000': 106, '1001': 12, '1010': 102, '1011': 14, '1100': 312, '1101': 17, '1110': 37, '1111': 14}"
1,3,ibm_fez,damh7978gn2s739leav0,1024,0,0.345703125,0.34375,-0.001953125,0.001953125,0,0,False,True,352,"{'0000': 86, '0001': 13, '0010': 68, '0011': 85, '0100': 19, '0101': 36, '0110': 55, '0111': 14, '1000': 209, '1001': 14, '1010': 12, '1011': 61, '1100': 92, '1101': 101, '1110': 131, '1111': 28}"
1,4,ibm_fez,damh7978gn2s739leav0,1024,1,0.65234375,0.62109375,-0.03125,0.03125,1,1,False,True,636,"{'0000': 54, '0001': 58, '0010': 30, '0011': 101, '0100': 29, '0101': 297, '0110': 124, '0111': 30, '1000': 31, '1001': 20, '1010': 35, '1011': 41, '1100': 31, '1101': 59, '1110': 54, '1111': 30}"
1,5,ibm_fez,damh7978gn2s739leav0,1024,1,0.3115234375,0.3046875,-0.0068359375,0.0068359375,0,0,False,False,312,"{'0000': 76, '0001': 32, '0010': 197, '0011': 24, '0100': 145, '0101': 28, '0110': 11, '0111': 57, '1000': 65, '1001': 44, '1010': 22, '1011': 48, '1100': 157, '1101': 72, '1110': 39, '1111': 7}"
1,6,ibm_fez,damh7978gn2s739leav0,1024,1,0.9375,0.8583984375,-0.0791015625,0.0791015625,1,1,False,True,879,"{'0000': 8, '0001': 85, '0010': 27, '0011': 45, '0100': 19, '0101': 240, '0110': 32, '0111': 33, '1000': 9, '1001': 91, '1010': 3, '1011': 27, '1100': 21, '1101': 331, '1110': 26, '1111': 27}"
1,7,ibm_fez,damh7978gn2s739leav0,1024,1,0.5888671875,0.5751953125,-0.013671875,0.013671875,1,1,False,True,589,"{'0000': 21, '0001': 15, '0010': 40, '0011': 105, '0100': 16, '0101': 37, '0110': 75, '0111': 29, '1000': 115, '1001': 32, '1010': 13, '1011': 59, '1100': 64, '1101': 278, '1110': 91, '1111': 34}"
1,8,ibm_fez,damh7978gn2s739leav0,1024,0,0.4619140625,0.466796875,0.0048828125,0.0048828125,0,0,False,True,478,"{'0000': 119, '0001': 25, '0010': 31, '0011': 125, '0100': 36, '0101': 223, '0110': 118, '0111': 12, '1000': 20, '1001': 10, '1010': 65, '1011': 26, '1100': 95, '1101': 14, '1110': 62, '1111': 43}"
1,9,ibm_fez,damh7978gn2s739leav0,1024,0,0.3779296875,0.3564453125,-0.021484375,0.021484375,0,0,False,True,365,"{'0000': 114, '0001': 18, '0010': 120, '0011': 109, '0100': 21, '0101': 96, '0110': 82, '0111': 32, '1000': 118, '1001': 8, '1010': 41, '1011': 21, '1100': 72, '1101': 72, '1110': 91, '1111': 9}"
