metric,value
samples,200.0
total_shots,204800.0
ideal_accuracy,0.85
hardware_accuracy,0.855
accuracy_difference,0.0050000000000000044
ideal_precision,0.8365384615384616
hardware_precision,0.8446601941747572
ideal_recall,0.87
hardware_recall,0.87
ideal_f1,0.8529411764705882
hardware_f1,0.8571428571428571
mean_probability_shift,-0.0139990234375
mean_absolute_shift,0.0342724609375
median_absolute_shift,0.033203125
std_probability_shift,0.037447382563471576
max_absolute_shift,0.083984375
prediction_change_count,1.0
prediction_change_rate,0.005
prediction_stability,0.995
ideal_correct_count,170.0
hardware_correct_count,171.0
ideal_correct_hardware_wrong,0.0
ideal_wrong_hardware_correct,1.0
