sample_index,true_label,ideal_probability,hardware_probability,probability_shift,absolute_probability_shift,ideal_prediction,hardware_prediction,prediction_changed,hardware_correct,class_1_counts,shots,job_id,backend,counts
0,1,0.9951171875,0.9296875,-0.0654296875,0.0654296875,1,1,False,True,952,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 7, '0001': 60, '0010': 6, '0011': 17, '0100': 8, '0101': 173, '0110': 12, '0111': 25, '1000': 16, '1001': 418, '1010': 9, '1011': 31, '1100': 11, '1101': 167, '1110': 3, '1111': 61}"
1,0,0.125,0.16015625,0.03515625,0.03515625,0,0,False,True,164,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 31, '0001': 10, '0010': 80, '0011': 5, '0100': 30, '0101': 6, '0110': 30, '0111': 21, '1000': 58, '1001': 33, '1010': 108, '1011': 15, '1100': 488, '1101': 19, '1110': 35, '1111': 55}"
2,0,0.1845703125,0.2216796875,0.037109375,0.037109375,0,0,False,True,227,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 127, '0001': 14, '0010': 52, '0011': 57, '0100': 39, '0101': 49, '0110': 46, '0111': 17, '1000': 82, '1001': 21, '1010': 99, '1011': 17, '1100': 317, '1101': 29, '1110': 35, '1111': 23}"
3,0,0.345703125,0.326171875,-0.01953125,0.01953125,0,0,False,True,334,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 72, '0001': 10, '0010': 90, '0011': 91, '0100': 11, '0101': 38, '0110': 69, '0111': 22, '1000': 200, '1001': 14, '1010': 12, '1011': 47, '1100': 96, '1101': 87, '1110': 140, '1111': 25}"
4,1,0.65234375,0.634765625,-0.017578125,0.017578125,1,1,False,True,650,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 52, '0001': 69, '0010': 28, '0011': 108, '0100': 30, '0101': 312, '0110': 145, '0111': 18, '1000': 25, '1001': 10, '1010': 18, '1011': 25, '1100': 33, '1101': 74, '1110': 43, '1111': 34}"
5,1,0.3115234375,0.3203125,0.0087890625,0.0087890625,0,0,False,False,328,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 84, '0001': 30, '0010': 184, '0011': 16, '0100': 131, '0101': 33, '0110': 9, '0111': 75, '1000': 75, '1001': 35, '1010': 24, '1011': 52, '1100': 153, '1101': 81, '1110': 36, '1111': 6}"
6,1,0.9375,0.857421875,-0.080078125,0.080078125,1,1,False,True,878,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 10, '0001': 78, '0010': 23, '0011': 59, '0100': 16, '0101': 244, '0110': 31, '0111': 46, '1000': 10, '1001': 86, '1010': 3, '1011': 19, '1100': 15, '1101': 326, '1110': 38, '1111': 20}"
7,1,0.5888671875,0.5615234375,-0.02734375,0.02734375,1,1,False,True,575,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 20, '0001': 13, '0010': 36, '0011': 106, '0100': 9, '0101': 31, '0110': 73, '0111': 23, '1000': 120, '1001': 26, '1010': 15, '1011': 67, '1100': 55, '1101': 268, '1110': 121, '1111': 41}"
8,0,0.4619140625,0.4326171875,-0.029296875,0.029296875,0,0,False,True,443,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 154, '0001': 23, '0010': 29, '0011': 106, '0100': 37, '0101': 215, '0110': 102, '0111': 13, '1000': 18, '1001': 9, '1010': 65, '1011': 27, '1100': 107, '1101': 16, '1110': 69, '1111': 34}"
9,0,0.3779296875,0.3525390625,-0.025390625,0.025390625,0,0,False,True,361,1024,damh5qn8gn2s739le9b0,ibm_fez,"{'0000': 120, '0001': 14, '0010': 100, '0011': 108, '0100': 19, '0101': 85, '0110': 80, '0111': 28, '1000': 105, '1001': 6, '1010': 50, '1011': 32, '1100': 104, '1101': 79, '1110': 85, '1111': 9}"
