sample_index,y_true,probability_y1,prediction
0,1,0.9951171875,1
1,0,0.125,0
2,0,0.1845703125,0
3,0,0.345703125,0
4,1,0.65234375,1
5,1,0.3115234375,0
6,1,0.9375,1
7,1,0.5888671875,1
8,0,0.4619140625,0
9,0,0.3779296875,0
10,1,0.9560546875,1
11,1,0.3369140625,0
12,1,0.2509765625,0
13,0,0.0244140625,0
14,0,0.017578125,0
15,0,0.40234375,0
16,1,0.5224609375,1
17,0,0.0693359375,0
18,1,0.58984375,1
19,0,0.92578125,1
20,1,0.8896484375,1
21,0,0.2158203125,0
22,1,0.5908203125,1
23,0,0.0107421875,0
24,1,0.87109375,1
25,1,0.8173828125,1
26,1,0.9951171875,1
27,1,0.9609375,1
28,0,0.2216796875,0
29,1,0.5869140625,1
30,0,0.345703125,0
31,1,0.900390625,1
32,1,0.888671875,1
33,1,0.9296875,1
34,1,0.9794921875,1
35,0,0.5224609375,1
36,0,0.6474609375,1
37,0,0.251953125,0
38,0,0.20703125,0
39,0,0.3125,0
40,0,0.4345703125,0
41,1,0.7353515625,1
42,1,0.1220703125,0
43,0,0.232421875,0
44,0,0.0810546875,0
45,1,0.8955078125,1
46,0,0.26171875,0
47,1,0.896484375,1
48,1,0.3330078125,0
49,0,0.1572265625,0
50,1,0.869140625,1
51,0,0.3681640625,0
52,1,0.951171875,1
53,0,0.255859375,0
54,0,0.38671875,0
55,0,0.07421875,0
56,1,0.8349609375,1
57,0,0.15625,0
58,0,0.759765625,1
59,1,0.96484375,1
60,1,0.9189453125,1
61,1,0.9453125,1
62,1,0.9931640625,1
63,0,0.599609375,1
64,0,0.771484375,1
65,0,0.068359375,0
66,1,0.6689453125,1
67,1,0.9970703125,1
68,0,0.046875,0
69,0,0.52734375,1
70,0,0.513671875,1
71,0,0.48828125,0
72,1,0.9580078125,1
73,1,0.814453125,1
74,1,0.990234375,1
75,1,0.84765625,1
76,0,0.26953125,0
77,0,0.09765625,0
78,1,0.99609375,1
79,0,0.3857421875,0
80,0,0.3720703125,0
81,1,0.9541015625,1
82,1,0.615234375,1
83,1,0.958984375,1
84,1,0.75390625,1
85,0,0.4736328125,0
86,0,0.0126953125,0
87,0,0.22265625,0
88,0,0.19921875,0
89,0,0.458984375,0
90,1,0.7666015625,1
91,1,0.9794921875,1
92,1,0.3642578125,0
93,0,0.01953125,0
94,0,0.0634765625,0
95,1,0.9912109375,1
96,1,0.98046875,1
97,0,0.0703125,0
98,1,0.9453125,1
99,0,0.328125,0
100,1,0.4326171875,0
101,0,0.1650390625,0
102,0,0.3994140625,0
103,1,0.97265625,1
104,1,0.296875,0
105,1,0.7001953125,1
106,0,0.0751953125,0
107,1,0.9873046875,1
108,0,0.212890625,0
109,1,0.0712890625,0
110,1,0.73828125,1
111,1,0.791015625,1
112,0,0.146484375,0
113,1,0.8564453125,1
114,0,0.0244140625,0
115,0,0.7353515625,1
116,1,0.1552734375,0
117,1,0.8818359375,1
118,0,0.2314453125,0
119,0,0.787109375,1
120,0,0.6337890625,1
121,1,0.80859375,1
122,0,0.0068359375,0
123,1,0.689453125,1
124,0,0.009765625,0
125,0,0.0908203125,0
126,0,0.72265625,1
127,0,0.0625,0
128,0,0.0048828125,0
129,0,0.00390625,0
130,0,0.517578125,1
131,1,0.9912109375,1
132,0,0.15625,0
133,0,0.16015625,0
134,0,0.1552734375,0
135,0,0.0478515625,0
136,0,0.2119140625,0
137,0,0.3271484375,0
138,0,0.0966796875,0
139,0,0.0029296875,0
140,1,0.8720703125,1
141,1,0.6650390625,1
142,0,0.046875,0
143,0,0.3251953125,0
144,1,0.9921875,1
145,0,0.0087890625,0
146,0,0.3291015625,0
147,1,0.7900390625,1
148,1,0.90234375,1
149,0,0.0234375,0
150,0,0.462890625,0
151,0,0.0126953125,0
152,1,0.9873046875,1
153,1,0.5341796875,1
154,1,0.3583984375,0
155,0,0.1962890625,0
156,1,0.9013671875,1
157,1,0.974609375,1
158,0,0.0029296875,0
159,0,0.052734375,0
160,1,0.6591796875,1
161,1,0.958984375,1
162,1,0.8505859375,1
163,0,0.3759765625,0
164,1,0.9208984375,1
165,1,0.8232421875,1
166,1,0.9951171875,1
167,0,0.677734375,1
168,0,0.28515625,0
169,0,0.0126953125,0
170,0,0.58203125,1
171,0,0.3125,0
172,1,0.7783203125,1
173,0,0.146484375,0
174,1,0.9443359375,1
175,1,0.955078125,1
176,0,0.8291015625,1
177,0,0.2197265625,0
178,0,0.3408203125,0
179,1,0.974609375,1
180,1,0.9619140625,1
181,0,0.123046875,0
182,1,0.9404296875,1
183,0,0.12109375,0
184,1,0.8955078125,1
185,1,0.7158203125,1
186,1,0.962890625,1
187,1,0.787109375,1
188,1,0.91015625,1
189,1,0.5498046875,1
190,0,0.998046875,1
191,1,0.2724609375,0
192,1,0.7392578125,1
193,1,0.90234375,1
194,1,0.787109375,1
195,1,0.8212890625,1
196,1,0.5498046875,1
197,0,0.150390625,0
198,1,0.990234375,1
199,1,0.486328125,0
