noise_model,noise_strength,accuracy,error_rate,precision,recall,f1_score,mean_probability_shift,mean_absolute_probability_shift,max_absolute_probability_shift,prediction_changes,prediction_change_rate
bit_flip,0.0,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0,0.0
bit_flip,0.01,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,-0.0035009765625,0.0364990234375,0.0791015625,0,0.0
bit_flip,0.02,0.84,0.16000000000000003,0.8207547169811321,0.87,0.8446601941747572,-0.0068994140625,0.0684619140625,0.1279296875,2,0.01
bit_flip,0.05,0.845,0.15500000000000003,0.8349514563106796,0.86,0.8472906403940887,-0.0145849609375,0.1465576171875,0.26171875,1,0.005
bit_flip,0.1,0.845,0.15500000000000003,0.8415841584158416,0.85,0.845771144278607,-0.0228271484375,0.2291845703125,0.3896484375,5,0.025
phase_flip,0.0,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0,0.0
phase_flip,0.01,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.00158203125,0.004892578125,0.0224609375,0,0.0
phase_flip,0.02,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0030224609375,0.0070361328125,0.0302734375,0,0.0
phase_flip,0.05,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0052685546875,0.0097412109375,0.0498046875,0,0.0
phase_flip,0.1,0.845,0.15500000000000003,0.8285714285714286,0.87,0.848780487804878,0.007783203125,0.0121484375,0.0625,1,0.005
depolarizing,0.0,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0,0.0
depolarizing,0.01,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,-0.00103515625,0.02720703125,0.0625,0,0.0
depolarizing,0.02,0.84,0.16000000000000003,0.8207547169811321,0.87,0.8446601941747572,-0.0043408203125,0.0531884765625,0.1015625,2,0.01
depolarizing,0.05,0.845,0.15500000000000003,0.8285714285714286,0.87,0.848780487804878,-0.009921875,0.1151953125,0.21484375,1,0.005
depolarizing,0.1,0.845,0.15500000000000003,0.8349514563106796,0.86,0.8472906403940887,-0.0150146484375,0.1917724609375,0.330078125,3,0.015
readout,0.0,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0,0.0
readout,0.01,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,-0.00041015625,0.00634765625,0.0166015625,0,0.0
readout,0.02,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,-0.0010595703125,0.0128564453125,0.0283203125,0,0.0
readout,0.05,0.85,0.15000000000000002,0.8365384615384616,0.87,0.8529411764705882,-0.003095703125,0.0315234375,0.064453125,0,0.0
readout,0.1,0.855,0.14500000000000002,0.8380952380952381,0.88,0.8585365853658538,-0.0047021484375,0.0631494140625,0.111328125,1,0.005
