noise_model,noise_strength,probability,ideal_probability,absolute_shift
bit_flip,0.0,0.9951171875,0.9951171875,0.0
bit_flip,0.01,0.93359375,0.9951171875,0.0615234375
bit_flip,0.02,0.888671875,0.9951171875,0.1064453125
bit_flip,0.05,0.7734375,0.9951171875,0.2216796875
bit_flip,0.1,0.642578125,0.9951171875,0.3525390625
phase_flip,0.0,0.9951171875,0.9951171875,0.0
phase_flip,0.01,0.9951171875,0.9951171875,0.0
phase_flip,0.02,0.998046875,0.9951171875,0.0029296875
phase_flip,0.05,0.99609375,0.9951171875,0.0009765625
phase_flip,0.1,0.994140625,0.9951171875,0.0009765625
depolarizing,0.0,0.9951171875,0.9951171875,0.0
depolarizing,0.01,0.951171875,0.9951171875,0.0439453125
depolarizing,0.02,0.912109375,0.9951171875,0.0830078125
depolarizing,0.05,0.806640625,0.9951171875,0.1884765625
depolarizing,0.1,0.7119140625,0.9951171875,0.283203125
readout,0.0,0.9951171875,0.9951171875,0.0
readout,0.01,0.9853515625,0.9951171875,0.009765625
readout,0.02,0.9765625,0.9951171875,0.0185546875
readout,0.05,0.9501953125,0.9951171875,0.044921875
readout,0.1,0.888671875,0.9951171875,0.1064453125
