True_Label,Ideal_Probability,Ideal_Prediction,bit_flip_Probability,bit_flip_Prediction,phase_flip_Probability,phase_flip_Prediction,depolarizing_Probability,depolarizing_Prediction,readout_Probability,readout_Prediction
1,0.9951171875,1,0.93359375,1,0.9951171875,1,0.951171875,1,0.9853515625,1
0,0.125,0,0.166015625,0,0.1259765625,0,0.1572265625,0,0.1318359375,0
0,0.1845703125,0,0.2314453125,0,0.1904296875,0,0.2177734375,0,0.1865234375,0
0,0.345703125,0,0.3779296875,0,0.33984375,0,0.365234375,0,0.345703125,0
1,0.65234375,1,0.6298828125,1,0.6630859375,1,0.640625,1,0.6494140625,1
1,0.3115234375,0,0.3359375,0,0.306640625,0,0.328125,0,0.3134765625,0
1,0.9375,1,0.8779296875,1,0.9287109375,1,0.8857421875,1,0.927734375,1
1,0.5888671875,1,0.56640625,1,0.5888671875,1,0.560546875,1,0.5869140625,1
0,0.4619140625,0,0.4658203125,0,0.4658203125,0,0.4921875,0,0.4599609375,0
0,0.3779296875,0,0.4033203125,0,0.373046875,0,0.3896484375,0,0.3798828125,0
1,0.9560546875,1,0.9150390625,1,0.9677734375,1,0.9345703125,1,0.94921875,1
1,0.3369140625,0,0.3427734375,0,0.3388671875,0,0.3330078125,0,0.337890625,0
1,0.2509765625,0,0.271484375,0,0.2490234375,0,0.2470703125,0,0.25390625,0
0,0.0244140625,0,0.072265625,0,0.0234375,0,0.06640625,0,0.037109375,0
0,0.017578125,0,0.076171875,0,0.0166015625,0,0.0595703125,0,0.02734375,0
0,0.40234375,0,0.376953125,0,0.4072265625,0,0.3984375,0,0.4072265625,0
1,0.5224609375,1,0.5556640625,1,0.5205078125,1,0.5458984375,1,0.525390625,1
0,0.0693359375,0,0.125,0,0.08203125,0,0.1123046875,0,0.076171875,0
1,0.58984375,1,0.5859375,1,0.5888671875,1,0.5947265625,1,0.5869140625,1
0,0.92578125,1,0.8896484375,1,0.935546875,1,0.8974609375,1,0.9208984375,1
1,0.8896484375,1,0.8408203125,1,0.888671875,1,0.8525390625,1,0.8857421875,1
0,0.2158203125,0,0.23046875,0,0.2255859375,0,0.236328125,0,0.21875,0
1,0.5908203125,1,0.591796875,1,0.5986328125,1,0.599609375,1,0.5888671875,1
0,0.0107421875,0,0.0654296875,0,0.009765625,0,0.0576171875,0,0.0224609375,0
1,0.87109375,1,0.8125,1,0.873046875,1,0.8291015625,1,0.8662109375,1
1,0.8173828125,1,0.78125,1,0.818359375,1,0.7734375,1,0.8134765625,1
1,0.9951171875,1,0.931640625,1,0.99609375,1,0.958984375,1,0.98046875,1
1,0.9609375,1,0.9150390625,1,0.9560546875,1,0.9208984375,1,0.9541015625,1
0,0.2216796875,0,0.2705078125,0,0.2255859375,0,0.275390625,0,0.2255859375,0
1,0.5869140625,1,0.5634765625,1,0.5712890625,1,0.578125,1,0.58203125,1
0,0.345703125,0,0.3642578125,0,0.349609375,0,0.3701171875,0,0.3447265625,0
1,0.900390625,1,0.8544921875,1,0.8935546875,1,0.8662109375,1,0.890625,1
1,0.888671875,1,0.8505859375,1,0.88671875,1,0.869140625,1,0.8828125,1
1,0.9296875,1,0.8857421875,1,0.927734375,1,0.90625,1,0.9169921875,1
1,0.9794921875,1,0.916015625,1,0.9853515625,1,0.9326171875,1,0.966796875,1
0,0.5224609375,1,0.5234375,1,0.5205078125,1,0.5341796875,1,0.517578125,1
0,0.6474609375,1,0.6259765625,1,0.6474609375,1,0.626953125,1,0.64453125,1
0,0.251953125,0,0.26953125,0,0.2568359375,0,0.265625,0,0.2529296875,0
0,0.20703125,0,0.21875,0,0.20703125,0,0.2119140625,0,0.208984375,0
0,0.3125,0,0.349609375,0,0.3134765625,0,0.34765625,0,0.3173828125,0
0,0.4345703125,0,0.4296875,0,0.4306640625,0,0.4326171875,0,0.4384765625,0
1,0.7353515625,1,0.7138671875,1,0.7353515625,1,0.728515625,1,0.7314453125,1
1,0.1220703125,0,0.181640625,0,0.1298828125,0,0.1748046875,0,0.1357421875,0
